"Eldon Base for stackable storage shelf, platinum",Muhammed MacIntyre,3,38.94,Storage & Organization
"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Barry French,293,8.69,Binders and Binder Accessories
R380,Clay Rozendal,483,195.99,Telephones and Communication
Holmes HEPA Air Purifier,Carlos Soltero,515,21.78,Appliances
G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Carlos Soltero,515,6.64,Office Furnishings
"Angle-D Binders with Locking Rings, Label Holders",Carl Jackson,613,7.3,Binders and Binder Accessories
"SAFCO Mobile Desk Side File, Wire Frame",Carl Jackson,613,42.76,Storage & Organization
"SAFCO Commercial Wire Shelving, Black",Monica Federle,643,138.14,Storage & Organization
Xerox 198,Dorothy Badders,678,4.98,Paper
Xerox 1980,Neola Schneider,807,4.28,Paper
Advantus Map Pennant Flags and Round Head Tacks,Neola Schneider,807,3.95,Rubber Bands
Holmes HEPA Air Purifier,Carlos Daly,868,21.78,Appliances
"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Carlos Daly,868,47.98,Computer Peripherals
Wilson Jones 1  Hanging DublLock® Ring Binders,Claudia Miner,933,5.28,Binders and Binder Accessories
Ultra Commercial Grade Dual Valve Door Closer,Neola Schneider,995,39.89,Office Furnishings
#10-4 1/8  x 9 1/2  Premium Diagonal Seam Envelopes,Allen Rosenblatt,998,15.74,Envelopes
Hon 4-Shelf Metal Bookcases,Sylvia Foulston,1154,100.98,Bookcases
"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Sylvia Foulston,1154,71.37,Tables
g520,Jim Radford,1344,65.99,Telephones and Communication
LX 788,Jim Radford,1344,155.99,Telephones and Communication
Avery 52,Carlos Soltero,1412,3.69,Labels
Plymouth Boxed Rubber Bands by Plymouth,Carlos Soltero,1412,4.71,Rubber Bands
"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2  x 11 ",Carl Ludwig,1539,15.99,Binders and Binder Accessories
"Maxell 3.5  DS/HD IBM-Formatted Diskettes, 10/Pack",Carl Ludwig,1539,4.89,Computer Peripherals
Newell 335,Don Miller,1540,2.88,Pens & Art Supplies
SANFORD Liquid Accent™ Tank-Style Highlighters,Annie Cyprus,1702,2.84,Pens & Art Supplies
Canon PC940 Copier,Carl Ludwig,1761,449.99,Copiers and Fax
"Tenex Personal Project File with Scoop Front Design, Black",Carlos Soltero,1792,13.48,Storage & Organization
Col-Erase® Pencils with Erasers,Grant Carroll,2275,6.08,Pens & Art Supplies
